Date,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),sum of frequencies of letters in word,Number of repetitive letter,word possibility
1/7/2022,slump,80630.0,1362.0,1.0,3.0,23.0,39.0,24.0,9.0,1.0,383,1.0,1.1750620670968224e-07
1/7/2022,slump,80630.0,1362.0,1.0,3.0,23.0,39.0,24.0,9.0,1.0,383,1.0,1.1750620670968224e-07
1/8/2022,crank,101503.0,1763.0,1.0,5.0,23.0,31.0,24.0,14.0,2.0,488,1.0,2.484147805212611e-07
1/9/2022,gorge,91477.0,1913.0,1.0,3.0,13.0,27.0,30.0,22.0,4.0,557,2.0,4.6217328960905304e-07
1/10/2022,query,107134.0,2242.0,1.0,4.0,16.0,30.0,30.0,17.0,2.0,452,1.0,2.607910379515327e-08
1/11/2022,drink,153880.0,3017.0,1.0,9.0,35.0,34.0,16.0,5.0,1.0,415,1.0,1.2239197530864167e-07
1/12/2022,favor,137586.0,3073.0,1.0,4.0,15.0,26.0,29.0,21.0,4.0,485,1.0,1.2464474022633731e-07
1/13/2022,abbey,132726.0,3345.0,1.0,2.0,13.0,29.0,31.0,20.0,3.0,469,2.0,9.22421523332316e-08
1/14/2022,tangy,169484.0,3985.0,1.0,4.0,21.0,30.0,24.0,15.0,5.0,489,1.0,2.9947504191434193e-07
1/15/2022,panic,205880.0,4655.0,1.0,9.0,35.0,34.0,16.0,5.0,1.0,485,1.0,3.465714779251129e-07
1/16/2022,solar,209609.0,4955.0,1.0,9.0,32.0,32.0,18.0,7.0,1.0,627,1.0,1.489089163237311e-06
1/17/2022,shire,222197.0,5640.0,1.0,8.0,32.0,32.0,18.0,8.0,2.0,583,1.0,8.476777549154105e-07
1/18/2022,proxy,220950.0,6206.0,1.0,2.0,11.0,24.0,31.0,26.0,6.0,400,1.0,2.596753543667129e-08
1/19/2022,point,280622.0,7094.0,1.0,16.0,37.0,28.0,12.0,4.0,1.0,518,1.0,5.308017409270273e-07
1/20/2022,robot,243964.0,6589.0,1.0,8.0,29.0,34.0,20.0,8.0,1.0,562,2.0,5.093069130086872e-07
1/21/2022,prick,273727.0,7409.0,1.0,8.0,30.0,33.0,19.0,7.0,1.0,408,1.0,1.1703475080018258e-07
1/22/2022,wince,241489.0,6850.0,1.0,3.0,17.0,33.0,29.0,15.0,3.0,479,1.0,1.910638749174418e-07
1/23/2022,crimp,269929.0,7630.0,1.0,5.0,28.0,38.0,20.0,7.0,1.0,428,1.0,1.8391175125743047e-07
1/24/2022,knoll,258038.0,8317.0,1.0,1.0,11.0,29.0,33.0,21.0,4.0,480,2.0,2.719417432979383e-07
1/25/2022,sugar,276404.0,8708.0,1.0,6.0,25.0,34.0,23.0,9.0,1.0,497,1.0,3.262880658436213e-07
1/26/2022,whack,302348.0,10163.0,1.0,4.0,22.0,37.0,24.0,10.0,2.0,365,1.0,4.3911703627495756e-08
1/27/2022,mount,331844.0,11451.0,1.0,9.0,29.0,33.0,19.0,7.0,1.0,470,1.0,2.834378228251122e-07
1/28/2022,perky,296968.0,11148.0,1.0,4.0,17.0,30.0,27.0,17.0,4.0,482,1.0,1.825537265660723e-07
1/29/2022,could,313220.0,11592.0,1.0,7.0,29.0,35.0,20.0,8.0,1.0,434,1.0,1.9343685413808867e-07
1/30/2022,wrung,294687.0,11524.0,0.0,2.0,18.0,39.0,27.0,12.0,2.0,368,1.0,6.156378600823059e-08
1/31/2022,light,341314.0,13347.0,1.0,10.0,25.0,27.0,19.0,12.0,5.0,466,1.0,2.83337651780724e-07
2/1/2022,those,351663.0,13606.0,1.0,13.0,34.0,30.0,15.0,6.0,1.0,608,1.0,1.0540344036308845e-06
2/2/2022,moist,361908.0,14205.0,3.0,13.0,32.0,29.0,16.0,7.0,1.0,509,1.0,4.561577461091642e-07
2/3/2022,shard,358176.0,14609.0,1.0,7.0,22.0,28.0,25.0,14.0,4.0,506,1.0,3.7787037037037045e-07
2/4/2022,pleat,359679.0,14813.0,1.0,10.0,28.0,31.0,19.0,9.0,2.0,652,1.0,1.4662821724330659e-06
2/5/2022,aloft,319698.0,13708.0,1.0,4.0,22.0,36.0,25.0,11.0,2.0,567,1.0,5.377266422801388e-07
2/6/2022,skill,311018.0,13716.0,1.0,3.0,17.0,33.0,27.0,16.0,3.0,450,2.0,2.1060150044877916e-07
2/7/2022,elder,288228.0,13340.0,1.0,3.0,13.0,24.0,30.0,24.0,5.0,675,2.0,1.511006172839509e-06
2/8/2022,frame,336236.0,15369.0,1.0,10.0,20.0,24.0,24.0,17.0,3.0,569,1.0,3.8555523405349806e-07
2/9/2022,humor,305372.0,13846.0,1.0,5.0,22.0,34.0,25.0,11.0,2.0,457,1.0,2.3413351623228242e-07
2/10/2022,pause,304830.0,13480.0,1.0,8.0,26.0,32.0,21.0,10.0,2.0,562,1.0,5.671772798861981e-07
2/11/2022,ulcer,278826.0,10631.0,1.0,4.0,18.0,30.0,28.0,16.0,3.0,569,1.0,6.799378143575679e-07
2/12/2022,ultra,269885.0,9310.0,1.0,7.0,23.0,34.0,24.0,10.0,1.0,600,1.0,1.0585459533607683e-06
2/13/2022,robin,277471.0,3249.0,1.0,6.0,29.0,34.0,21.0,8.0,1.0,490,1.0,2.669958276177409e-07
2/14/2022,cynic,261521.0,10343.0,1.0,6.0,25.0,33.0,22.0,11.0,2.0,394,2.0,1.4750403605480165e-07
2/15/2022,aroma,287836.0,10343.0,1.0,6.0,25.0,33.0,22.0,11.0,2.0,641,2.0,1.3212342463991783e-06
2/16/2022,caulk,289721.0,10740.0,1.0,4.0,20.0,31.0,26.0,15.0,3.0,441,1.0,1.4988528171518526e-07
2/17/2022,shake,342003.0,12767.0,1.0,6.0,16.0,23.0,24.0,21.0,9.0,539,1.0,3.392539882131786e-07
